Gads/Mēnesis;"Faktiski";"Norma"
"2003M01";-5.5;-5.7
"2003M02";-5.6;-5.2
"2003M03";0.0;-1.3
"2003M04";4.0;4.8
"2003M05";12.3;11.3
"2003M06";14.2;15.1
"2003M07";19.9;16.5
"2003M08";16.1;15.8
"2003M09";12.2;11.4
"2003M10";4.6;6.6
"2003M11";2.9;1.4
"2003M12";0.7;-3.1
"2004M01";-6.5;-5.3
"2004M02";-2.8;-4.9
"2004M03";0.4;-1.3
"2004M04";6.1;4.5
"2004M05";10.1;10.9
"2004M06";13.3;14.8
"2004M07";16.3;16.4
"2004M08";17.5;15.7
"2004M09";12.7;11.4
"2004M10";7.1;6.8
"2004M11";2.7;1.6
"2004M12";0.9;-2.7
"2005M01";-0.6;-5.3
"2005M02";-5.7;-4.9
"2005M03";-4.7;-1.3
"2005M04";5.6;4.5
"2005M05";10.6;10.9
"2005M06";14.2;14.8
"2005M07";18.2;16.4
"2005M08";16.3;15.7
"2005M09";13.5;11.4
"2005M10";7.4;6.8
"2005M11";3.1;1.6
"2005M12";-2.4;-2.7
"2006M01";-5.8;-5.3
"2006M02";-6.8;-4.9
"2006M03";-3.7;-1.3
"2006M04";5.5;4.5
"2006M05";11.0;10.9
"2006M06";15.8;14.8
"2006M07";19.4;16.4
"2006M08";17.5;15.7
"2006M09";14.2;11.4
"2006M10";9.5;6.8
"2006M11";4.0;1.6
"2006M12";4.3;-2.7
"2007M01";0.3;-5.3
"2007M02";-8.2;-4.9
"2007M03";4.4;-1.3
"2007M04";5.2;4.5
"2007M05";12.2;10.9
"2007M06";16.4;14.8
"2007M07";16.5;16.4
"2007M08";18.0;15.7
"2007M09";12.0;11.4
"2007M10";7.2;6.8
"2007M11";1.2;1.6
"2007M12";1.4;-2.7
"2008M01";-0.6;-5.3
"2008M02";1.7;-4.9
"2008M03";1.4;-1.3
"2008M04";7.2;4.6
"2008M05";10.8;11.0
"2008M06";14.7;14.9
"2008M07";17.1;16.4
"2008M08";16.9;15.7
"2008M09";10.9;11.4
"2008M10";8.7;6.8
"2008M11";2.9;1.6
"2008M12";0.2;-2.7
"2009M01";-2.3;-5.3
"2009M02";-3.8;-4.9
"2009M03";-0.2;-1.3
"2009M04";6.9;4.6
"2009M05";11.4;11.0
"2009M06";14.0;14.9
"2009M07";17.4;16.4
"2009M08";16.1;15.7
"2009M09";13.6;11.4
"2009M10";5.0;6.8
"2009M11";3.5;1.6
"2009M12";-3.0;-2.7
"2010M01";-11.5;-5.3
"2010M02";-5.6;-4.9
"2010M03";-0.8;-1.3
"2010M04";6.0;4.6
"2010M05";12.2;11.0
"2010M06";14.9;14.9
"2010M07";21.5;16.4
"2010M08";18.8;15.7
"2010M09";11.5;11.4
"2010M10";4.9;6.8
"2010M11";2.2;1.6
"2010M12";-6.6;-2.7
"2011M01";-3.0;-5.3
"2011M02";-8.9;-4.9
"2011M03";-0.5;-1.3
"2011M04";6.8;4.6
"2011M05";11.2;11.0
"2011M06";17.3;14.9
"2011M07";19.8;16.4
"2011M08";16.8;15.7
"2011M09";13.4;11.4
"2011M10";7.8;6.8
"2011M11";4.4;1.6
"2011M12";2.1;-2.7
"2012M01";-3.4;-5.3
"2012M02";-8.8;-4.9
"2012M03";0.9;-1.3
"2012M04";5.9;4.6
"2012M05";11.7;11.0
"2012M06";13.9;14.9
"2012M07";18.2;16.4
"2012M08";15.9;15.7
"2012M09";13.0;11.4
"2012M10";6.9;6.8
"2012M11";4.0;1.6
"2012M12";-4.8;-2.7
"2013M01";-6.2;-5.3
"2013M02";-2.2;-4.9
"2013M03";-5.5;-1.3
"2013M04";4.0;4.6
"2013M05";14.4;11.0
"2013M06";17.6;14.9
"2013M07";17.8;16.4
"2013M08";17.1;15.7
"2013M09";11.9;11.4
"2013M10";8.1;6.8
"2013M11";4.7;1.6
"2013M12";2.2;-2.7
"2014M01";-6.1;-5.3
"2014M02";0.4;-4.9
"2014M03";3.4;-1.3
"2014M04";7.2;4.6
"2014M05";12.0;11.0
"2014M06";13.8;14.9
"2014M07";19.7;16.4
"2014M08";17.3;15.7
"2014M09";12.7;11.4
"2014M10";6.5;6.8
"2014M11";2.3;1.6
"2014M12";0.9;-2.7
"2015M01";-0.7;-5.3
"2015M02";-0.2;-4.9
"2015M03";3.4;-1.3
"2015M04";5.9;4.6
"2015M05";10.2;11.0
"2015M06";14.3;14.9
"2015M07";16.4;16.4
"2015M08";17.9;15.7
"2015M09";13.3;11.4
"2015M10";5.7;6.8
"2015M11";4.7;1.6
"2015M12";2.9;-2.7
"2016M01";-7.1;-5.3
"2016M02";0.4;-4.9
"2016M03";1.1;-1.3
"2016M04";6.2;4.6
"2016M05";13.7;11.0
"2016M06";16.2;14.9
"2016M07";18.1;16.4
"2016M08";16.5;15.7
"2016M09";13.1;11.4
"2016M10";4.9;6.8
"2016M11";0.8;1.6
"2016M12";1.0;-2.7
"2017M01";-2.7;-5.3
"2017M02";-2.3;-4.9
"2017M03";2.1;-1.3
"2017M04";4.1;4.6
"2017M05";10.6;11.0
"2017M06";14.1;14.9
"2017M07";16.0;16.4
"2017M08";16.7;15.7
"2017M09";12.8;11.4
"2017M10";6.6;6.8
"2017M11";3.4;1.6
"2017M12";1.2;-2.7
"2018M01";-1.6;-5.3
"2018M02";-6.9;-4.9
"2018M03";-2.4;-1.3
"2018M04";7.8;4.6
"2018M05";15.3;11.0
"2018M06";15.8;14.9
"2018M07";19.8;16.4
"2018M08";18.7;15.7
"2018M09";14.6;11.4
"2018M10";8.1;6.8
"2018M11";3.0;1.6
"2018M12";-1.1;-2.7
"2019M01";-4.0;-5.3
