Gads,"Iedzīvotāju skaits gada sākumā","Noslēgto laulību skaits","Šķirto laulību skaits","Dzimušo skaits","Mirušo skaits","Mirušo zīdaiņu skaits","Iedzīvotāju skaita izmaiņas - pavisam","Iedzīvotāju dabiskais pieaugums","Migrācijas saldo","Noslēgto laulību skaits uz 1000 iedzīvotāju","Šķirto laulību skaits uz 1000 iedzīvotāju","Dzīvi dzimušo skaits uz 1000 iedzīvotāju","Mirušo skaits uz 1000 iedzīvotāju","Mirušo zīdaiņu skaits uz 1000 dzīvi dzimušo","Iedzīvotāju skaita izmaiņas uz 1000 iedzīvotāju","Dabiskais pieaugums uz 1000 iedzīvotāju","Migrācijas saldo uz 1000 iedzīvotāju"
"1920",1596131,...,...,29434,33891,3778,...,-4457,...,...,...,17.0,19.6,128.4,...,-2.6,...
"1921",...,...,...,36420,25331,3394,...,11089,...,...,...,19.7,13.7,93.2,...,6.0,...
"1922",...,15619,...,41146,27553,3734,...,13593,...,...,...,21.9,14.6,90.8,...,7.2,...
"1923",...,15636,...,41796,26080,3693,...,15716,...,...,...,21.9,13.7,88.4,...,8.2,...
"1924",...,15534,...,41172,28399,4152,...,12773,...,...,...,22.3,15.4,100.8,...,6.9,...
"1925",1844805,15149,...,41314,27683,4430,...,13631,...,...,...,22.3,14.9,107.2,...,7.3,...
"1926",...,15439,1256,41073,27557,3609,...,13516,...,...,...,22.0,14.7,87.9,...,7.2,...
"1927",...,15531,1177,41610,28941,3982,...,12669,...,...,...,22.1,15.4,95.7,...,6.7,...
"1928",...,16210,1310,39126,27299,3769,...,11827,...,...,...,20.7,14.4,96.3,...,6.2,...
"1929",...,15203,1339,35673,28512,3807,...,7161,...,...,...,18.8,15.0,106.7,...,3.8,...
"1930",1900045,17127,1450,37835,27110,3407,...,10725,...,...,...,19.8,14.2,90.0,...,5.6,...
"1931",...,16403,1425,36972,26891,3191,...,10081,...,...,...,19.3,14.0,86.3,...,5.3,...
"1932",...,15104,1593,37366,26342,3336,...,11024,...,...,...,19.9,13.6,89.3,...,5.7,...
"1933",...,16063,1527,34576,26319,2640,...,8257,...,...,...,17.8,13.6,76.4,...,4.3,...
"1934",...,16334,1780,33383,27065,3174,...,6318,...,...,...,17.2,13.9,95.1,...,3.3,...
"1935",1905936,16474,1921,34419,27660,2714,...,6759,...,...,...,17.6,14.2,78.9,...,3.5,...
"1936",...,16550,1189,35468,27646,2842,...,7822,...,...,...,18.1,14.1,80.1,...,4.0,...
"1937",...,15971,1279,34863,28083,2965,...,6780,...,...,...,17.7,14.3,85.0,...,3.5,...
"1938",...,16735,1601,36386,26703,2478,...,9683,...,...,...,18.4,13.5,68.1,...,4.9,...
"1939",...,18148,1927,36932,27827,2591,...,9105,...,...,...,...,...,70.2,...,...,...
"1940",...,20861,2116,37493,30355,2743,...,7138,...,...,...,...,...,73.2,...,...,...
"1941",...,23467,4456,36295,30434,2967,...,5861,...,...,...,...,...,81.7,...,...,...
"1942",...,15638,2391,36370,29940,2950,...,6430,...,...,...,...,...,81.1,...,...,...
"1943",...,12202,2640,35915,29904,3356,...,6011,...,...,...,...,...,93.4,...,...,...
"1944",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"1945",...,10616,225,26217,...,2914,...,...,...,...,...,...,...,111.1,...,...,...
"1946",1553577,15253,516,30544,32266,2867,163196,-1722,164918,9.3,0.3,18.7,19.7,93.9,99.9,-1.0,100.9
"1947",1716773,17255,972,34832,32435,3785,139646,2397,137249,9.7,0.5,19.5,18.2,108.7,78.1,1.3,76.8
"1948",1856419,22417,1428,35402,26500,2808,30373,8902,21471,12.0,0.8,18.9,14.2,79.3,16.2,4.7,11.5
"1949",1886792,20005,1618,35671,25640,2972,-2715,10031,-12746,10.6,0.9,18.9,13.6,83.3,-1.5,5.3,-6.8
"1950",1884077,19280,1496,33137,24250,2318,5897,8887,-2990,10.2,0.8,17.6,12.9,70.0,3.1,4.7,-1.6
"1951",1889974,18445,1518,32764,23898,2279,8603,8866,-263,9.7,0.8,17.3,12.6,69.6,4.6,4.7,-0.1
"1952",1898577,16863,1432,32278,22680,1709,14260,9598,4662,8.8,0.8,16.9,11.9,52.9,7.4,5.0,2.4
"1953",1912837,17702,1530,30986,22761,1450,26301,8225,18076,9.2,0.8,16.1,11.8,46.8,13.7,4.3,9.4
"1954",1939138,20263,1943,33202,22500,1525,27429,10702,16727,10.4,1.0,17.0,11.5,45.9,14.1,5.5,8.6
"1955",1966567,21364,2296,32968,21330,1385,28787,11638,17149,10.8,1.2,16.6,10.8,42.0,14.5,5.8,8.7
"1956",1995354,22516,2476,32590,20339,1106,45624,12251,33373,11.2,1.2,16.1,10.1,33.9,22.5,6.0,16.5
"1957",2040978,24061,3887,33714,21087,1088,25390,12627,12763,11.7,1.9,16.4,10.3,32.3,12.3,6.1,6.2
