Pieturas nosaukums,Pieturas kods,Vienotais kods,Platums,Garums,Ce?a puse,Ce?a numurs,Iela,Novads,Pagasts,Ciemats
"""Meža m?ja""",15305,5514,56.94951,23.5123491,Kreis?,,T?ristu iela,J?rmala,,
"""Meža m?ja""",15306,5514,56.949758,23.5132277,Lab?,,T?ristu iela,J?rmala,,
1.vidusskola,11560,301,56.8166902,24.6076858,Kreis?,,Kalna prospekts,Ogres novads,Ogres pils?ta,Ogre
1.vidusskola,11528,301,56.8168269,24.6074461,Lab?,,Kalna prospekts,Ogres novads,Ogres pils?ta,Ogre
16. kilometrs,15307,5515,57.0203459,24.3405732,Lab?,A2,,Garkalnes novads,,
18. kilometrs,15308,5517,57.0279989,24.3632728,Kreis?,A2,,Garkalnes novads,,
18. kilometrs,15309,5517,57.0280886,24.3647022,Lab?,A2,,Garkalnes novads,,
25.CR,12580,721,56.4823655,23.0859993,Lab?,P96,,Auces novads,B?nes pagasts,B?ne
25.CR,13029,721,56.4825882,23.0851327,Kreis?,P96,,Auces novads,B?nes pagasts,B?ne
6.l?nija,15310,5519,56.6524624,23.6416042,Kreis?,P97,Dobeles šoseja,Jelgava,,
A. Pumpura iela,15311,5520,56.8185385,24.5886998,Kreis?,,Andreja Pumpura iela,Ogres novads,Ogres pils?ta,Ogre
A. Pumpura iela,15312,5520,56.818903,24.5888263,Lab?,,Andreja Pumpura iela,Ogres novads,Ogres pils?ta,Ogre
A.Up?ša iela,15313,5533,56.8198995,24.5767975,Lab?,,Jaunogres prospekts,Ogres novads,Ogres pils?ta,Ogre
A.Up?ša iela,15314,5533,56.8199419,24.577444,Kreis?,,Jaunogres prospekts,Ogres novads,Ogres pils?ta,Ogre
A/S J?rmalas celtnieks,11892,333,56.9621928,23.7722089,Kreis?,,Slokas iela,J?rmala,,
A/S J?rmalas celtnieks,11841,333,56.9630515,23.7721544,Lab?,,Slokas iela,J?rmala,,
A/s Prei?u siers,13030,730,56.2791336,26.7195925,Kreis?,V752,Andreja Up?ša iela 1,Prei?u novads,Prei?u pagasts,
A/S Ruks,15315,781,57.301192,25.2633468,Lab?,,Kr?mi?u iela 19,C?su novads,C?su pils?ta,C?sis
AAS,15316,5534,57.4964302,22.8224457,Lab?,P131,,Rojas novads,,Roja
AAS,15317,5534,57.495846,22.822574,Kreis?,P131,Selgas iela ,Rojas novads,,Roja
?beles,13031,733,56.7193466,24.1112348,Kreis?,V7,,Olaines novads,Olaines pagasts,D?vi
?beles,13032,733,56.7202383,24.1114136,Lab?,V7,,Olaines novads,Olaines pagasts,D?vi
?bel?tes,13033,738,56.8096453,24.6480498,Lab?,V967,J.?akstes prospekts,Ogres novads,Ogres pils?ta,Ogre
?bel?tes,13034,739,57.3246764,26.8407863,Lab?,V396,,Al?ksnes novads,Kalncempju pagasts,
?bel?tes,13035,739,57.3247004,26.8407637,Kreis?,V396,,Al?ksnes novads,Kalncempju pagasts,
?boli,13036,741,55.8710866,26.3139195,Kreis?,V696,,Daugavpils novads,Sventes pagasts,
?boli,13037,741,55.8712715,26.3138599,Lab?,V696,,Daugavpils novads,Sventes pagasts,
Acone,15318,5535,56.9146774,24.2859596,Kreis?,V35,,Salaspils novads,,Acone
Acone,15319,5535,56.9147829,24.284418,Lab?,V35,,Salaspils novads,,Acone
?dažu iela,15321,5539,57.0131794,24.2595867,Lab?,,?dažu iela,Garkalnes novads,,Bukulti
?dažu iela,15322,5539,57.0142902,24.2594762,Kreis?,,?dažu iela,Garkalnes novads,,Bukulti
?di?as,13120,922,56.879614,24.1729634,Lab?,V2,,?ekavas novads,?ekavas pagasts,Katlakalns
?di?as,13121,922,56.8797002,24.172881,Kreis?,V2,,?ekavas novads,?ekavas pagasts,Katlakalns
Adzelvieši,13276,1345,57.7258893,25.3287501,Lab?,V231,,Burtnieku novads,Burtnieku pagasts,
Adzelvieši,13277,1345,57.7258992,25.3287443,Kreis?,V231,,Burtnieku novads,Burtnieku pagasts,
Aizcirtums,13777,2531,57.4208406,27.1696184,Kreis?,V400,,Al?ksnes novads,Jaunal?ksnes pagasts,
