"Teritorija","Suņi","Kaķi","Seski","Kopā"
Latvijā kopā,127581,4638,91,132310
Ādažu novads,1050,34,6,1090
Aglonas novads,428,0,0,428
Aizkraukles novads,348,25,0,373
Aizputes novads,705,12,0,717
Aknīstes novads,192,2,0,194
Alojas novads,463,0,0,463
Alsungas novads,130,0,0,130
Alūksnes novads,980,9,0,989
Amatas novads,593,2,0,595
Apes novads,255,0,0,255
Auces novads,475,6,4,485
Babītes novads,1020,43,4,1067
Baldones novads,670,11,0,681
Baltinavas novads,53,0,0,53
Balvu novads,715,21,0,736
Bauskas novads,1519,45,0,1564
Beverīnas novads,328,7,0,335
Brocēnu novads,364,13,1,378
Burtnieku novads,673,7,0,680
Carnikavas novads,1028,31,1,1060
Cēsu novads,866,23,0,889
Cesvaines novads,196,5,0,201
Ciblas novads,353,2,0,355
Dagdas novads,593,5,0,598
Daugavpils,3647,164,0,3811
Daugavpils novads,1840,47,0,1887
Dobeles novads,1225,37,0,1262
Dundagas novads,276,9,0,285
Durbes novads,356,2,0,358
Engures novads,709,16,0,725
Ērgļu novads,187,2,0,189
Garkalnes novads,1062,41,0,1103
Grobiņas novads,772,16,0,788
Gulbenes novads,1653,19,1,1673
Iecavas novads,669,23,0,692
Ikšķiles novads,1102,35,1,1138
Ilūkstes novads,622,3,0,625
Inčukalna novads,594,13,0,607
Jaunjelgavas novads,364,4,0,368
Jaunpiebalgas novads,144,2,0,146
Jaunpils novads,238,1,0,239
Jēkabpils,975,21,0,996
Jēkabpils novads,414,2,0,416
Jelgava,3420,115,7,3542
Jelgavas novads,1982,45,1,2028
Jūrmala,3342,183,0,3525
Kandavas novads,467,10,0,477
Kārsavas novads,412,1,0,413
Kocēnu novads,513,4,0,517
Kokneses novads,270,9,0,279
Krāslavas novads,1326,7,0,1333
Krimuldas novads,432,11,0,443
Krustpils novads,581,1,0,582
Kuldīgas novads,1711,24,0,1735
Ķeguma novads,528,12,0,540
Ķekavas novads,2302,110,1,2413
Lielvārdes novads,722,21,0,743
Liepāja,3394,128,1,3523
Līgatnes novads,294,6,0,300
Limbažu novads,1049,12,0,1061
Līvānu novads,738,22,0,760
Lubānas novads,127,2,0,129
Ludzas novads,867,15,0,882
Madonas novads,1559,35,0,1594
Mālpils novads,314,2,0,316
Mārupes novads,1791,132,0,1923
Mazsalacas novads,273,7,0,280
Mērsraga novads,86,4,2,92
Naukšēnu novads,280,0,0,280
Neretas novads,208,1,0,209
Nīcas novads,383,7,0,390
Ogres novads,2539,94,1,2634
Olaines novads,1599,61,0,1660
Ozolnieku novads,913,37,2,952
Pārgaujas novads,362,3,0,365
Pāvilostas novads,210,2,0,212
Pļaviņu novads,496,7,0,503
Preiļu novads,430,1,0,431
Priekules novads,518,4,0,522
Priekuļu novads,605,12,0,617
Raunas novads,282,3,1,286
Rēzekne,1045,22,0,1067
Rēzeknes novads,1947,14,0,1961
Riebiņu novads,330,3,0,333
Rīga,33116,2093,42,35251
Rojas novads,222,3,0,225
Ropažu novads,774,10,0,784
Rucavas novads,270,1,0,271
Rugāju novads,142,0,0,142
Rūjienas novads,372,1,0,373
Rundāles novads,244,4,0,248
Salacgrīvas novads,452,6,0,458
Salas novads,249,3,0,252
Salaspils novads,1909,71,0,1980
Saldus novads,1628,24,1,1653
Saulkrastu novads,545,17,0,562
Sējas novads,206,2,0,208
Siguldas novads,1310,37,0,1347
Skrīveru novads,274,5,0,279
Skrundas novads,323,6,0,329
Smiltenes novads,933,8,0,941
Stopiņu novads,1150,70,4,1224
Strenču novads,193,1,0,194
Talsu novads,1826,26,0,1852
Tērvetes novads,474,1,0,475
Tukuma novads,1736,72,5,1813
Vaiņodes novads,199,0,0,199
Valkas novads,540,10,0,550
Valmiera,1046,52,2,1100
Varakļānu novads,244,1,0,245
Vārkavas novads,268,0,0,268
Vecpiebalgas novads,340,1,0,341
Vecumnieku novads,634,9,2,645
Ventspils,2193,116,1,2310
Ventspils novads,1149,26,0,1175
Viesītes novads,303,0,0,303
Viļakas novads,355,9,0,364
Viļānu novads,296,4,0,300
Zilupes novads,173,0,0,
