Pilsēta/Novads,Adrese,Koordinātas,Papīrs,Plastmasa,Stikls,Metāls,Bioloģiski noārdāmie atkritumi,Tekstilmateriāli,Elektriskās un elektroniskās iekārtas,Apgaismes iekārtas un spuldzes,Baterijas un akumulatori,Sadzīvē radušies bīstamie atkritumi,Nolietotās riepas
Ādažu novads,"“Mežavēji”, Kadaga, Ādažu novads, LV – 2103","57.089989, 24.360679",,x,x,,x,,,,,,
Ādažu novads,"Pirmā iela 43, Ādaži, Ādažu nov., LV-2164","57.081150, 24.318718",,x,x,,x,,,,,,
Ādažu novads,"""Kadaga 12"", Kadaga, Ādažu nov., LV-2103","57.101750, 24.361560",,X,X,,X,,,,,,
Ādažu novads,"Attekas iela 6A, Ādaži, Ādažu nov., LV-2164","57.077514, 24.328704",,x,x,,x,,,,,,
Ādažu novads,"Pirmā iela 25A, Ādaži, Ādažu nov., LV-2164","57.078626, 24.321518",,x,x,,x,,,,,,
Ādažu novads,"Attekas iela 22, Ādaži, Ādažu nov., LV-2164","57.080340, 24.324731",,x,x,,x,,,,,,
Ādažu novads,"Ceriņu iela 7, Garkalne, Ādažu nov., LV-2137","57.072276, 24.422224",,X,X,,X,,,,,,
Ādažu novads,"``Kadagas centrs``, Kadaga, Ādažu nov., LV-2103","57.101796, 24.361646",,x,x,,x,,,,,,
Ādažu novads,"""Kadaga 10"", Kadaga, Ādažu nov., LV-2103","57.100631, 24.362075",,x,x,,x,,,,,,
Ādažu novads,"""Virši"", Baltezers, Ādažu nov., LV-2164","57.079065, 24.317678",,x,x,,x,,,,,,
Ādažu novads,"``Baltiņi``, Baltezers, Ādažu nov., LV-2164","57.044696, 24.316359",,x,x,,x,,,,,,
Ādažu novads,"Dzidrumu iela 11, Stapriņi, Ādažu nov., LV-2164","57.080809, 24.306558",,x,x,,x,,,,,,
Aglonas novads,Somersētas iela 37,"56.1298533, 27.0084903",,X,X,,,,,,,,
Aizkraukles novads,"Lāčplēša 25, Aizkraukle","56.602125, 25.265251",x,x,x,,,,,,,,
Aizkraukles novads,"Lāčplēša iela 37, Aizkraukle","56.603267, 25.266344",x,x,x,,,,,,,,
Aizkraukles novads,"Maurēnu iela 4, Aizkraukle","56.603204, 25.262442",x,x,x,,,,,,,,
Aizkraukles novads,"Jaunceltnes iela 39, Aizkraukle","56.604705, 25.263458",x,x,x,,,,,,,,
Aizkraukles novads,"Janceltnes iela 45, Aizkraukle","56.604500, 25.264872",x,x,x,,,,,,,,
Aizkraukles novads,"Lāčplēša iela 35, Aizkraukle","56.602642, 25.266196",x,x,x,,,,,,,,
Aizkraukles novads,"Bērzu iela 12, Aizkraukle","56.605892, 25.258303",x,x,,,,,,,,,
Aizkraukles novads,"Bērzu iela 6, Aizkraukle","56.602118, 25.258191",x,x,x,,,,,,,,
Aizkraukles novads,"Bērzu iela 8, Aizkraukle","56.602069, 25.259194",x,x,x,,,,,,,,
Aizkraukles novads,"Draudzības krastmala 5, Aizkraukle","56.598520, 25.253905",x,x,x,,,,,,,,
Aizkraukles novads,"Spīdolas iela 10, Aizkraukle","56.598319, 25.249736",x,x,x,,,,,,,,
Aizkraukles novads,"Spīdolas iela 3, Aizkraukle","56.598546, 25.247695",x,x,x,,,,,,,,
Aizkraukles novads,"Gaismas iela 2, Aizkraukle","56.598373, 25.246232",x,x,x,,,,,,,,
Aizkraukles novads,"Gaismas iela 8, Aizkraukle","56.600103, 25.247789",x,x,x,,,,,,,,
Aizkraukles novads,"Spīdolas iela 5, Aizkraukle","56.598845, 25.249345",x,x,x,,,,,,,,
Aizkraukles novads,"Spīdolas iela 7, Aizkraukle","56.599583, 25.249878",x,x,x,,,,,,,,
Aizkraukles novads,"Kalna iela 1, Aizkraukles pag.","56.617993, 25.218848",x,x,x,,,,,,,,
Aizkraukles novads,"Lāčplēša iela 4, Aizkraukle","56.600850, 25.253983",x,x,x,,,,,,,,
Aizkraukles novads,"Lāčplēša iela 17/19, Aizkraukle","56.601443, 25.259872",x,x,x,,,,,,,,
Aizkraukles novads,"Lāčplēša iela 19, Aizkraukle","56.601578, 25.258269",x,x,,,,,,,,,
Aizkraukles novads,"Spīdolas iela 11, Aizkraukle","56.601417, 25.251537",x,x,x,,,,,,,,
Aizkraukles novads,"Jaunceltnes iela 21, Aizkraukle","56.607493, 25.258192",x,x,,,,,,,,,
Aizkraukles novads,"Jaunceltnes iela 30, Aizkraukle","56.606448, 25.262965",x,x,,,,,,,,,
Aizkraukles novads,"Lāčplēša iela 10, Aizkraukle","56.600042, 25.257329",x,x,,,,,,,,,
Aizkraukles novads,"Saules iela, privāto māju rajons, Aizkraukle","56.605654, 25.271671",x,x,,,,,,,,,
Aizkraukles novads,"Spīdolas iela 11, Sarkanais Krusts, Aizkraukle","56.601459, 25.251537",,,,,,x,,,,,
Aizputes novads,"Raiņa bulv. 5 , Aizpute","56.725332, 21.599987",x,x,x,,,,,,,,
Aizputes novads,"Raiņa bulv. / Cepļa iela , Aizpute","56.725166, 21.598087",x,x,x,,,,,,,,
Aizputes novads,"Ezera iela 5, Aizpute","56.709180, 21.621873",x,x,x,,,,,,,,
Aizputes novads,"Austrumu iela 1 / Ceriņu iela 29A, Aizpute","56.724915, 21.609907",x,x,x,,,,,,,,
Aizputes novads,"Avotu iela 8/8A, Aizpute","56.716189, 21.609704",x,x,x,,,,,,,,
Aizputes novads,"Ceriņu iela 5, Lažas iela 8A/7A, Aizpute","56.719725, 21.613809",,x,x,,,,,,,,
Aizputes novads,"Atmodas iela 22, Aizpute","56.718698, 21.604626",,x,x,,,,,,,,
Aizputes novads,"Robežu iela 23, Aizpute","56.713355, 21.593584",x,x,x,,,,,,,,
Aizputes novads,"Jelgavas iela 8, Aizpute","56.717688, 21.610413",,x,x,,,,,,,,
Aizputes novads,"Jelgavas iela 11/13, Aizpute","56.718365, 21.612138",,x,x,,,,,,,,
Aizputes novads,"Apriķu tautas nams, Lažas pagasts","56.803907, 21.502464",,x,x,,,,,,,,
Aizputes novads,"Kultūras nams, Cīravas pagasts","56.736908, 21.385231",,x,x,,,,,,,,
Aizputes novads,"Skolas iela 10, Kalvenes pagasts","56.604383, 21.737717",x,x,x,,,x,,,,,
Aizputes novads,"Ziedu iela 3, Aizputes pagasts","56.712570, 21.565024",,x,x,,,,,,,,
Aizputes novads,"Kalnu iela 5, Aizputes pagasts","56.729670, 21.571341",,x,x,,,,,,,,
Aizputes novads,"Ganību gatve, Kazdangas pagasts","56.731844, 21.729691",,x,x,,,,,,,,
Aizputes novads,"Valāta, Kazdangas pagasts","56.720282, 21.726235",,x,x,,,,,,,,
Aizputes novads,"Bojas, Kazdangas pagasts","56.680982, 21.655431",,x,x,,,,,,,,
Aizputes novads,"Kalvenes iela 28, Aizpute","56.716864, 21.611116",,,,,,x,x,,,,
Aizputes novads,"Tautas nams, Cīravas pagasts","56.736902, 21.385221",,,,,,x,,,,,
Aizputes novads,"Jaunatnes gatve 1, Kazdangas pagasts","56.733572, 21.732286",,,,,,x,x,,,,
Aizputes novads,"Ozoli ""Cīrava Cīravas pagasts""","56.732641, 21.391029",,x,x,,,,,,,,
Aknīstes novads,"Kapu iela 1A, Aknīste","56.155254, 25.753565",,,,,x,,,,,,
Aknīstes novads,"Dimanti, Gārsene, Gārsenes pagasts","56.102846, 25.805624",,x,x,,,,,,,,
Aknīstes novads,"Akācijas, pagasta pārvalde, Gārsene, Gārsenes pagasts","56.103072, 25.808272",,x,x,,,,,,,,
Aknīstes novads,"Līvānu ielas privātmājas, Gārsene, Gārsenes pagasts","56.166895, 25.737177",,x,x,,,,,,,,
Aknīstes novads,"Kraujas ""Kraujas Gārsenes pagasts""","56.126670, 25.788657",,,x,,,,,,,,
Aknīstes novads,"Alejas ""Aknīstes psihoneirolģiskā slimnīca Kraujas Gārsenes pagasts""","56.127339, 25.788274",,,x,,,,,,,,
Aknīstes novads,"Ūdenssaimniecība ""Ancene Asares pagasts""","56.102029, 25.959270",x,x,x,x,,,,,,,
Aknīstes novads,"Radžupes iela 3, Aknīste","56.163310, 25.741792",x,x,x,x,,,,,,,
Aknīstes novads,"Miera iela 1, Aknīste","56.165163, 25.735830",x,x,x,x,,,,,,,
Aknīstes novads,"Parka ielas un Zaļās ielas krustojums, Aknīste","56.156790, 25.740768",x,x,x,x,,,,,,,
Aknīstes novads,"Augšzemes ielas un Smilšu ielas krustojums, Aknīste","56.160210, 25.750817",x,x,x,x,,,,,,,
Aknīstes novads,"Strādnieku iela 2, Aknīste","56.158061, 25.752280",x,x,x,x,,,,,,,
Aknīstes novads,"Dzirnavu iela 10, Senioru dienas centrs, Aknīste","56.162660, 25.750275",,,,,,x,,,,,
Alojas novads,"Kalnāres ""Vilzēni Braslavas pagasts""","57.719360, 25.015069",x,x,x,x,,,,,,,
Alojas novads,"Centra lauk., Ungurpils, Alojas l.t.","57.771024, 24.819621",x,x,x,x,,,,,,,
Alojas novads,"Imantas iela 4, Braslavas pagasts","57.759182, 25.039204",x,x,x,x,,,,,,,
Alojas novads,"Jūras iela 22, Aloja","57.767346, 24.879789",x,x,x,x,,,,,,,
Alojas novads,"Kluba iela 11, Aloja","57.764824, 24.879793",x,x,x,x,,,,,,,
Alojas novads,"Kluba iela 6, Aloja","57.768949, 24.880356",x,x,x,x,,,,,,,
Alojas novads,"Jūras iela 1A, laukumā pie veikala TOP, Aloja","57.766562, 24.883306",x,x,x,x,,,,,,,
Alojas novads,"Lidlauka ielas un Brīvības ielas krustojums, Aloja","57.770978, 24.885966",x,x,x,x,,,,,,,
Alojas novads,Lielā iela 39,"57.830173, 24.761054",x,x,x,x,,,,,,,
Alojas novads,Lielā iela 9,"57.836132, 24.748217",x,x,x,x,,,,,,,
Alojas novads,"Ozolmuiža, laukums pie veikala Ciprese ""Brīvzemnieku pagasts""","57.639102, 25.047858",x,x,x,x,,,,,,,
Alojas novads,"Priedītes, Staicele","57.837533, 24.756122",x,x,x,x,,,,,,,
Alojas novads,"Skolas iela 3, Aloja","57.764260, 24.882107",x,x,x,x,,,,,,,
Alojas novads,"Skolas iela 6, Aloja","57.764862, 24.880670",x,x,x,x,,,,,,,
Alojas novads,"Skolas ielas un Planču ielas krustojums, Staicele","57.839141, 24.747416",x,x,x,x,,,,,,,
Alojas novads,"Sporta iela 5, Staicele","57.836534, 24.739393",x,x,x,x,,,,,,,
Alojas novads,"Stacijas un Ābeļu ielas krustojums, Puikule, Brīvzemnieku pagasts","57.687715, 24.883988",x,x,x,x,,,,,,,
Alojas novads,"Starp veikalu Miks"" un Lielo ielu 6 Staicele""","57.835515, 24.745958",x,x,x,x,,,,,,,
Alojas novads,"Vētras, Ungurpils, Alojas pagasts","57.770717, 24.812463",x,x,x,x,,,,,,,
Alojas novads,"Vīķi, Veckabi, Staiceles pagasts","57.865115, 24.799922",x,x,x,x,,,,,,,
Alojas novads,"Liepu iela 3, Ungurpils, Alojas pagasts","57.771058, 24.819578",x,x,,x,,,,,,,
Alojas novads,"Rīgas iela 22, Aloja","57.760590, 24.880108",x,x,,x,,,,,,,
Alsungas novads,"Skolas iela 11, Alsunga, Alsungas novads","56.978300, 21.568497",,x,x,,,,,,,,
Alsungas novads,"Ziedlejas iela 1, Alsunga, Alsungas novads","56.987230, 21.558894",,x,x,,,,,,,,
Alsungas novads,"Krasta iela 1, Alsunga, Alsungas novads","56.978720, 21.572974",,x,x,,,,,,,,
Alsungas novads,"Krasta iela 7 , Alsunga, Alsungas novads","56.977140, 21.572742",,x,x,,,,,,,,
Alūksnes novads,"Apes iela 9, Alūksne","57.431485, 27.032439",x,x,x,,,,,,,,
Alūksnes novads,"Augusta ielas teritorija, Alūksne","57.429959, 27.035730",x,x,x,,,,,,,,
Alūksnes novads,"Bērzu iela 7, Alūksne","57.425140, 27.037351",x,x,x,,,,,,,,
Alūksnes novads,"Brīvības iela 6, Alūksne","57.415267, 27.049824",x,,,,,,,,,,
Alūksnes novads,"Cerību iela, Alūksne","57.429082, 27.094394",x,x,x,,,,,,,,
Alūksnes novads,"Brūža iela 1, Alūksne","57.424501, 27.049438",,x,,,,,,,,,
Alūksnes novads,"Dārza iela 11, Alūksne","57.420084, 27.050850",x,x,x,,,,,,,,
Alūksnes novads,"Glika iela 10, Alūksne","57.423430, 27.038782",x,x,x,,,,,,,,
Alūksnes novads,"Gulbenes iela 2, Alūksne","57.413459, 27.041610",x,,,,,,,,,,
Alūksnes novads,"Jāņkalna iela 53, Alūksne","57.413516, 27.045787",x,x,x,,,,,,,,
Alūksnes novads,"Kanaviņu iela 14, Alūksne","57.413894, 27.057985",x,x,,,,,,,,,
Alūksnes novads,"Helēnas iela 24, Alūksne","57.426219, 27.037711",x,,,,,,,,,,
Alūksnes novads,"Laurencenes iela 6, Alūksne","57.435373, 27.030556",x,x,x,,,,,,,,
Alūksnes novads,"Lāčplēša iela 1, Alūksne","57.424210, 27.072280",x,x,x,,,,,,,,
Alūksnes novads,"Lielā Ezera iela 24A, Alūksne","57.421264, 27.044214",x,,,,,,,,,,
Alūksnes novads,"Merķeļa iela 19, Alūksne","57.411427, 27.049862",x,x,x,,,,,,,,
Alūksnes novads,"Merķeļa iela 20, Alūksne","57.407495, 27.049342",x,x,x,,,,,,,,
Alūksnes novads,"Latgales iela 3B, Alūksne","57.420591, 27.052914",x,,,,,,,,,,
Alūksnes novads,"Ošu iela 5, Alūksne","57.433333, 27.042215",x,x,x,,,,,,,,
Alūksnes novads,"Pils iela 1A, Alūksne","57.437187, 27.038646",,,x,,,,,,,,
Alūksnes novads,"Pils iela 15, Alūksne","57.427227, 27.040827",,x,,,,,,,,,
Alūksnes novads,"Pils iela 36, Alūksne","57.426341, 27.040031",x,x,x,,,,,,,,
Alūksnes novads,"Rīgas iela 9, Alūksne","57.431100, 27.022929",x,,,,,,,,,,
Alūksnes novads,"Rūpniecības iela 2P, Alūksne","57.426604, 27.028678",,,x,,,,,,,,
Alūksnes novads,"Siguldas iela 8, Alūksne","57.422085, 27.065381",x,x,x,,,,,,,,
Alūksnes novads,"Skārņu iela 9, Alūksne","57.422759, 27.033244",x,x,x,,,,,,,,
Alūksnes novads,"Torņa iela 15, Alūksne","57.416936, 27.063444",x,x,x,,,,,,,,
Alūksnes novads,"Kārklu iela 5, Alūksne","57.418356, 27.066668",x,x,x,,,,,,,,
Alūksnes novads,"Vidus iela 9, Alūksne","57.422757, 27.046778",x,x,x,,,,,,,,
Alūksnes novads,"“Lielie kapi”, Alūksne ","57.435291, 27.063176",x,x,x,,,,,,,,
Alūksnes novads,"“Avotiņš”, Liepnas pagasts, Alūksnes novads","57.345888, 27.473301",x,x,x,,,,,,,,
