"Gads","Kuģi","kravas kuģi","zvejas kuģi","pasažieru kuģi","velkoņi","palīgflote","ledlauži","Kravas automobiļi (ieskaitot vilcējus)","..individuālo īpašnieku kravas automobiļi","Autobusi","..individuālo īpašnieku autobusi","Vieglie automobiļi","..individuālo īpašnieku automobiļi","Trolejbusi","Tramvaju vagoni","Valsts dzelzceļam piederošās lokomotīves","Valsts dzelzceļam piederošie motorvagoni","Valsts dzelzceļam piederošie pasažieru vagoni","Valsts dzelzceļam piederošie preču vagoni","Uzņēmumiem piederošie preču vagoni","Gaisa kuģi ar dzinēju"
"1990",...,...,...,...,...,...,...,59965,1900,11722,400,282688,271500,416,402,484,265,1244,5948,...,...
"1991",...,...,...,...,...,...,...,70597,6500,12660,1100,328450,315900,401,421,471,259,1226,...,...,...
"1992",...,...,...,...,...,...,...,70600,15600,12700,2100,350000,327800,365,406,431,257,1212,10329,2290,...
"1993",...,...,...,...,...,...,...,60454,22400,11604,2700,367475,351500,360,403,411,254,1189,9998,1221,50
"1994",345,117,101,6,26,94,1,59386,20600,14160,4300,251593,229700,357,399,369,254,1164,8252,1633,70
"1995",317,98,89,5,25,99,1,68668,25000,16465,5600,331837,305100,348,358,349,246,1066,8171,1969,74
"1996",312,87,95,5,26,98,1,72909,27460,17275,6062,379895,349572,336,355,322,227,914,9755,1909,75
"1997",297,80,102,4,23,87,1,76771,28985,18558,6885,431816,395779,319,349,308,217,813,8626,1960,68
"1998",305,74,110,4,22,94,1,84942,30605,11508,2891,482670,425150,321,339,288,200,768,8332,1964,71
"1999",287,70,97,5,24,90,1,90220,34280,11556,2974,525572,472431,314,336,270,192,715,7878,1429,74
"2000",271,57,91,6,28,88,1,97081,37895,11501,3138,556771,502562,306,336,248,181,701,7326,1820,72
"2001",251,41,93,6,26,84,1,99708,38898,11294,3029,586209,526279,311,335,232,167,622,6184,1921,77
"2002",242,30,97,7,26,81,1,102734,39584,11164,3002,619081,552209,311,333,229,159,598,5543,2368,81
"2003",234,21,99,7,27,79,1,104626,39863,10983,2912,648901,573395,311,332,229,159,580,5348,2604,85
"2004",224,30,91,8,25,69,1,107553,40756,10740,2851,686128,614121,311,332,217,159,537,5333,3373,98
"2005",206,30,86,7,27,55,1,113113,41799,10644,2758,742447,660047,322,336,205,148,492,5290,3581,95
"2006",205,32,81,8,25,58,1,121120,43022,10628,2658,822011,723720,318,325,200,147,487,5225,3623,113
"2007",193,30,76,8,22,56,1,129614,44858,10624,2619,904869,789650,334,323,200,146,487,5256,3635,149
"2008",194,29,76,9,24,55,1,129805,45594,10543,2552,932828,814436,346,319,201,129,451,5228,3568,169
"2009",182,25,69,9,21,57,1,120571,43807,9687,2358,904308,799995,303,313,197,129,293,5226,3449,198
"2010",176,21,66,11,20,57,1,71575,19899,5377,658,636664,557311,302,319,197,104,238,6038,2995,215
"2011",162,19,60,10,16,56,1,72622,19362,5186,533,612321,544293,302,329,202,104,238,6126,3095,216
"2012",165,17,62,9,16,60,1,76303,19687,5044,539,618274,551368,302,312,202,104,238,6320,3282,240
"2013",168,20,59,10,19,59,1,79899,20447,4989,442,634603,568423,264,273,202,104,238,6815,3177,251
"2014",172,21,60,10,20,60,1,83205,21585,4845,390,657799,591112,257,274,206,104,238,7011,3228,247
"2015",175,28,61,8,18,59,1,85998,22756,4797,389,679048,612459,269,266,204,104,238,6525,3282,258
"2016",170,25,59,7,18,60,1,84067,21882,4696,347,664177,599165,290,266,200,104,237,5696,3200,250
"2017",170,29,55,7,19,59,1,87143,22807,4701,339,689536,622808,254,231,194,104,237,5692,3077,243
